年月日,平均気温(℃)
2025/5/1,18.9
2025/5/2,16.5
2025/5/3,18
2025/5/4,17.2
2025/5/5,16.9
2025/5/6,17.4
2025/5/7,17.4
2025/5/8,18.5
2025/5/9,19.4
2025/5/10,19.1
2025/5/11,15.1
2025/5/12,17.1
2025/5/13,17.5
2025/5/14,19.3
2025/5/15,21.3
2025/5/16,22.2
2025/5/17,22.2
2025/5/18,20.2
2025/5/19,21.1
2025/5/20,23.5
2025/5/21,22.4
2025/5/22,21.8
2025/5/23,21.8
2025/5/24,21.4
2025/5/25,18.3
2025/5/26,17.2
2025/5/27,19.8
2025/5/28,20.6
2025/5/29,19.1
2025/5/30,19.4
2025/5/31,19.6
2025/6/1,19.9
2025/6/2,18.5
2025/6/3,20.4
2025/6/4,20.9
2025/6/5,21.1
2025/6/6,21.1
2025/6/7,23.1
2025/6/8,20.7
2025/6/9,21.6
2025/6/10,24.6
2025/6/11,23.2
2025/6/12,23
2025/6/13,26.3
2025/6/14,25.9
2025/6/15,25
2025/6/16,26.5
2025/6/17,26.4
2025/6/18,26.7
2025/6/19,26.7
2025/6/20,27
2025/6/21,28
2025/6/22,27.4
2025/6/23,25.5
2025/6/24,25.5
2025/6/25,27
2025/6/26,26.5
2025/6/27,27.6
2025/6/28,27.3
2025/6/29,27.9
2025/6/30,28.3
2025/7/1,28.5
2025/7/2,29
2025/7/3,29.2
2025/7/4,28.8
2025/7/5,28.3
2025/7/6,28.3
2025/7/7,28.7
2025/7/8,28.3
2025/7/9,27.8
2025/7/10,26.7
2025/7/11,26.3
2025/7/12,27.4
2025/7/13,27.7
2025/7/14,25.8
2025/7/15,26.1
2025/7/16,26.7
2025/7/17,27.5
2025/7/18,25.5
2025/7/19,28.2
2025/7/20,28.3
2025/7/21,28.9
2025/7/22,28.7
2025/7/23,28.9
2025/7/24,29.6
2025/7/25,29.4
2025/7/26,29.5
2025/7/27,29.7
2025/7/28,29.2
2025/7/29,29.1
2025/7/30,29.2
2025/7/31,29
2025/8/1,29.3
2025/8/2,29
2025/8/3,28.8
2025/8/4,28.1
2025/8/5,29.5
2025/8/6,29.5
2025/8/7,28
2025/8/8,25.8
2025/8/9,27.4
2025/8/10,28.6
2025/8/11,27.6
2025/8/12,28.7
2025/8/13,28.5
2025/8/14,28.8
2025/8/15,29.2
2025/8/16,29.2
2025/8/17,27.9
2025/8/18,28.1
2025/8/19,28
2025/8/20,26.7
2025/8/21,26.3
2025/8/22,27.5
2025/8/23,28.3
2025/8/24,28.7
2025/8/25,29
2025/8/26,28
2025/8/27,28.3
2025/8/28,28.4
2025/8/29,28.7
2025/8/30,28.7
2025/8/31,28.3
2025/9/1,29.2
2025/9/2,28.4
2025/9/3,28.5
2025/9/4,26.4
2025/9/5,28.2
2025/9/6,28.5
2025/9/7,28.7
2025/9/8,29.2
2025/9/9,29
2025/9/10,26.2
2025/9/11,26.8
2025/9/12,27.3
2025/9/13,28.8
2025/9/14,27.6
2025/9/15,28
2025/9/16,28.5
2025/9/17,27.8
2025/9/18,26.3
2025/9/19,27.1
2025/9/20,27.2
2025/9/21,25.8
2025/9/22,25.7
2025/9/23,26.3
2025/9/24,26.1
2025/9/25,27.2
2025/9/26,27.3
2025/9/27,25.1
2025/9/28,26.1
2025/9/29,25.2
2025/9/30,23.7
2025/10/1,23.6
2025/10/2,22.8
2025/10/3,23.7
2025/10/4,25.1
2025/10/5,25.7
2025/10/6,24.8
2025/10/7,25.6
2025/10/8,26.4
2025/10/9,24.9
2025/10/10,24
2025/10/11,24.8
2025/10/12,25.8
2025/10/13,24.6
2025/10/14,24.8
2025/10/15,25.4
2025/10/16,26.1
2025/10/17,25.1
2025/10/18,25.5
2025/10/19,24.2
2025/10/20,22.6
2025/10/21,20.5
2025/10/22,17.5
2025/10/23,19.1
2025/10/24,20
2025/10/25,20.5
2025/10/26,20.9
2025/10/27,19
2025/10/28,14.7
2025/10/29,14
2025/10/30,16.9
2025/10/31,16.1
