年月日,平均気温(℃),,,
,,,,
2026/6/1,7.2,,,2026/1/5
2026/6/2,4.8,,,
2026/6/3,6.7,,,
2026/6/4,6.9,,,
2026/6/5,3.4,,,
2026/6/6,11.4,,,
2026/6/7,5.2,,,
2026/6/8,4.3,,,
2026/6/9,10.4,,,
2026/6/10,6.9,,,
2026/6/11,10.6,,,
2026/6/12,11.5,,,
2026/6/13,9.6,,,
2026/6/14,10.2,,,
2026/6/15,12.1,,,
2026/6/16,9.5,,,
2026/6/17,5.3,,,
2026/6/18,3.4,,,
2026/6/19,4.5,,,
2026/6/20,4.9,,,
2026/6/21,4.5,,,
2026/6/22,3.7,,,
2026/6/23,5.7,,,
2026/6/24,4.4,,,
2026/6/25,4.5,,,
2026/6/26,6.1,,,
2026/6/27,4.6,,,
2026/6/28,6.1,,,
2026/6/29,7,,,
2026/6/30,5.3,,,
2026/7/1,6.8,,,
2026/7/2,10.3,,,
